wp,x,y,yaw_imu
wp351,13588189.58,8085341.757,-0.582188588
wp352,13588188.49,8085342.105,-0.609915151
wp353,13588187.39,8085342.454,-0.624833677
wp354,13588186.3,8085342.802,-0.631102064
wp355,13588185.2,8085343.149,-0.633150485
wp356,13588184.1,8085343.496,-0.635902811
wp357,13588183.01,8085343.843,-0.644243117
wp358,13588181.91,8085344.189,-0.659393
wp359,13588180.82,8085344.535,-0.677763839
wp360,13588179.72,8085344.88,-0.695440199
wp361,13588178.63,8085345.225,-0.708717573
wp362,13588177.53,8085345.569,-0.716057302
wp363,13588176.43,8085345.913,-0.717193147
wp364,13588175.34,8085346.256,-0.711875111
wp365,13588174.24,8085346.599,-0.70038424
wp366,13588173.15,8085346.941,-0.6869454
wp367,13588172.05,8085347.283,-0.677450186
wp368,13588170.95,8085347.624,-0.671978853
wp369,13588169.86,8085347.965,-0.661963488
wp370,13588168.76,8085348.306,-0.638134164
wp371,13588167.66,8085348.646,-0.591427504
wp372,13588166.56,8085348.985,-0.525165943
wp373,13588165.47,8085349.324,-0.46186569
wp374,13588164.37,8085349.663,-0.422779674
wp375,13588163.27,8085350.002,-0.404974372
wp376,13588162.17,8085350.34,-0.393543889
wp377,13588161.07,8085350.677,-0.373496875
wp378,13588159.97,8085351.014,-0.333024043
wp379,13588158.87,8085351.351,-0.278269391
wp380,13588157.77,8085351.687,-0.221667341
wp381,13588156.67,8085352.023,-0.174203227
wp382,13588155.57,8085352.359,-0.135233663
wp383,13588154.47,8085352.694,-0.09854254
wp384,13588153.37,8085353.029,-0.057886816
wp385,13588152.27,8085353.364,-0.007767333
wp386,13588151.16,8085353.698,0.055981738
wp387,13588150.06,8085354.032,0.137387062
wp388,13588148.96,8085354.366,0.239423602
wp389,13588147.85,8085354.699,0.361766368
wp390,13588146.75,8085355.032,0.503374719
wp391,13588145.64,8085355.365,0.657458688
wp392,13588144.54,8085355.697,0.807294485
wp393,13588143.43,8085356.029,0.935319632
wp394,13588142.32,8085356.36,1.035266278
wp395,13588141.21,8085356.691,1.119940776
wp396,13588140.11,8085357.018,1.203988222
wp397,13588139,8085357.343,1.300478646
wp398,13588137.89,8085357.664,1.411628903
wp399,13588136.78,8085357.981,1.53508336
wp400,13588135.66,8085358.292,1.668470384
wp401,13588134.55,8085358.596,1.808049291
wp402,13588133.43,8085358.894,1.944417492
wp403,13588132.32,8085359.183,2.067707675
wp404,13588131.2,8085359.464,2.192882144
wp405,13588130.08,8085359.735,2.360811433
wp406,13588128.96,8085359.995,2.613044369
wp407,13588127.84,8085360.245,2.95650574
wp408,13588126.72,8085360.482,3.342997099
wp409,13588125.59,8085360.706,3.719817319
wp410,13588124.47,8085360.917,4.065770015
wp411,13588123.34,8085361.113,4.412789476
wp412,13588122.21,8085361.294,4.797922505
wp413,13588121.08,8085361.458,5.251185262
wp414,13588119.94,8085361.605,5.747759419
wp415,13588118.81,8085361.735,6.237078355
wp416,13588117.67,8085361.846,6.677946023
wp417,13588116.53,8085361.937,7.186093825
wp418,13588115.38,8085362.008,8.005924264
wp419,13588114.24,8085362.058,9.37313923
wp420,13588113.09,8085362.086,11.15475135
wp421,13588111.94,8085362.091,12.79754439
wp422,13588110.79,8085362.072,13.92929851
wp423,13588109.63,8085362.028,14.77660619
wp424,13588108.48,8085361.959,15.67543004
wp425,13588107.33,8085361.864,16.90525438
wp426,13588106.18,8085361.74,18.40447636
wp427,13588105.03,8085361.588,19.98409002
wp428,13588103.89,8085361.406,21.46323638
wp429,13588102.76,8085361.193,22.77506149
wp430,13588101.64,8085360.948,23.93508274
wp431,13588100.52,8085360.671,24.96064717
wp432,13588099.42,8085360.36,25.88249221
wp433,13588098.33,8085360.014,26.87787073
wp434,13588097.25,8085359.632,28.21439171
wp435,13588096.19,8085359.213,30.15986877
wp436,13588095.15,8085358.757,32.65616659
wp437,13588094.12,8085358.261,34.88254066
wp438,13588093.11,8085357.727,36.43477006
wp439,13588092.12,8085357.155,37.60596331
wp440,13588091.15,8085356.548,38.7310432
wp441,13588090.2,8085355.906,39.99080639
wp442,13588089.27,8085355.231,41.39886642
wp443,13588088.36,8085354.525,42.96045842
wp444,13588087.47,8085353.789,44.6798064
wp445,13588086.6,8085353.024,46.54525088
wp446,13588085.76,8085352.233,48.53250787
wp447,13588084.94,8085351.417,50.60834957
wp448,13588084.14,8085350.576,52.66774096
wp449,13588083.37,8085349.713,54.56990957
wp450,13588082.62,8085348.83,56.17419835
wp451,13588081.89,8085347.927,57.46317023
wp452,13588081.19,8085347.006,58.71958847
wp453,13588080.51,8085346.07,60.27106647
wp454,13588079.86,8085345.118,62.42218255
wp455,13588079.24,8085344.153,65.11079208
wp456,13588078.63,8085343.175,67.98073254
wp457,13588078.05,8085342.186,70.69543898
wp458,13588077.49,8085341.186,73.00960018
wp459,13588076.94,8085340.177,74.70132409
wp460,13588076.41,8085339.159,75.78127477
wp461,13588075.9,8085338.134,76.59266346
wp462,13588075.39,8085337.103,77.50395439
wp463,13588074.89,8085336.067,78.73097056
wp464,13588074.41,8085335.026,80.09341159
wp465,13588073.92,8085333.982,81.34990151
wp466,13588073.45,8085332.936,82.35277747
wp467,13588072.97,8085331.888,83.0775451
wp468,13588072.49,8085330.841,83.52434262
wp469,13588072.02,8085329.793,83.78943789
wp470,13588071.54,8085328.745,84.00430737
wp471,13588071.07,8085327.697,84.30047923
wp472,13588070.6,8085326.648,84.74910669
wp473,13588070.12,8085325.599,85.19911289
wp474,13588069.65,8085324.55,85.46044236
wp475,13588069.18,8085323.499,85.5146107
wp476,13588068.72,8085322.449,85.47023605
wp477,13588068.25,8085321.397,85.43829223
wp478,13588067.79,8085320.345,85.47326091
wp479,13588067.33,8085319.291,85.52963645
wp480,13588066.87,8085318.237,85.55804744
wp481,13588066.41,8085317.181,85.56205016
wp482,13588065.96,8085316.124,85.57141478
wp483,13588065.51,8085315.066,85.6069881
wp484,13588065.06,8085314.007,85.65986606
wp485,13588064.62,8085312.946,85.71599048
wp486,13588064.18,8085311.884,85.77276071
wp487,13588063.74,8085310.821,85.83541683
wp488,13588063.3,8085309.757,85.90902002
wp489,13588062.87,8085308.692,85.99131035
wp490,13588062.44,8085307.625,86.07286951
wp491,13588062.02,8085306.558,86.14398124
wp492,13588061.59,8085305.489,86.19908876
wp493,13588061.17,8085304.42,86.24642179
wp494,13588060.75,8085303.349,86.29706263
wp495,13588060.34,8085302.278,86.36198001
wp496,13588059.92,8085301.206,86.44377296
wp497,13588059.51,8085300.133,86.53108375
wp498,13588059.1,8085299.059,86.61175819
wp499,13588058.69,8085297.984,86.68397179
